"","well","plate","row","column","media","edge","strain","starve","rep","time_hr","OD","OD_b"
"1","A1",1,"A",1,"succ",2,"blank","blank","blank",0.2425,0.091,0.015
"2","A1",1,"A",1,"succ",2,"blank","blank","blank",0.4925,0.095,0.019
"3","A1",1,"A",1,"succ",2,"blank","blank","blank",0.7425,0.098,0.022
"4","A1",1,"A",1,"succ",2,"blank","blank","blank",0.9925,0.101,0.025
"5","A1",1,"A",1,"succ",2,"blank","blank","blank",1.2425,0.106,0.03
"6","A1",1,"A",1,"succ",2,"blank","blank","blank",1.4925,0.107,0.031
"7","A1",1,"A",1,"succ",2,"blank","blank","blank",1.7425,0.109,0.033
"8","A1",1,"A",1,"succ",2,"blank","blank","blank",1.9925,0.109,0.033
"9","A1",1,"A",1,"succ",2,"blank","blank","blank",2.2425,0.105,0.029
"10","A1",1,"A",1,"succ",2,"blank","blank","blank",2.4925,0.102,0.026
"11","A1",1,"A",1,"succ",2,"blank","blank","blank",2.7425,0.101,0.025
"12","A1",1,"A",1,"succ",2,"blank","blank","blank",2.9925,0.1,0.024
"13","A1",1,"A",1,"succ",2,"blank","blank","blank",3.2425,0.1,0.024
"14","A1",1,"A",1,"succ",2,"blank","blank","blank",3.4925,0.1,0.024
"15","A1",1,"A",1,"succ",2,"blank","blank","blank",3.7425,0.1,0.024
"16","A1",1,"A",1,"succ",2,"blank","blank","blank",3.9925,0.101,0.025
"17","A1",1,"A",1,"succ",2,"blank","blank","blank",4.2425,0.101,0.025
"18","A1",1,"A",1,"succ",2,"blank","blank","blank",4.4925,0.102,0.026
"19","A1",1,"A",1,"succ",2,"blank","blank","blank",4.7425,0.102,0.026
"20","A1",1,"A",1,"succ",2,"blank","blank","blank",4.9925,0.102,0.026
"21","A1",1,"A",1,"succ",2,"blank","blank","blank",5.2425,0.103,0.027
"22","A1",1,"A",1,"succ",2,"blank","blank","blank",5.4925,0.104,0.028
"23","A1",1,"A",1,"succ",2,"blank","blank","blank",5.7425,0.104,0.028
"24","A1",1,"A",1,"succ",2,"blank","blank","blank",5.9925,0.103,0.027
"25","A1",1,"A",1,"succ",2,"blank","blank","blank",6.2425,0.104,0.028
"26","A1",1,"A",1,"succ",2,"blank","blank","blank",6.4925,0.105,0.029
"27","A1",1,"A",1,"succ",2,"blank","blank","blank",6.7425,0.105,0.029
"28","A1",1,"A",1,"succ",2,"blank","blank","blank",6.9925,0.106,0.03
"29","A1",1,"A",1,"succ",2,"blank","blank","blank",7.2425,0.107,0.031
"30","A1",1,"A",1,"succ",2,"blank","blank","blank",7.4925,0.108,0.032
"31","A1",1,"A",1,"succ",2,"blank","blank","blank",7.7425,0.109,0.033
"32","A1",1,"A",1,"succ",2,"blank","blank","blank",7.9925,0.111,0.035
"33","A1",1,"A",1,"succ",2,"blank","blank","blank",8.2425,0.113,0.037
"34","A1",1,"A",1,"succ",2,"blank","blank","blank",8.4925,0.115,0.039
"35","A1",1,"A",1,"succ",2,"blank","blank","blank",8.7425,0.118,0.042
"36","A1",1,"A",1,"succ",2,"blank","blank","blank",8.9925,0.12,0.044
"37","A1",1,"A",1,"succ",2,"blank","blank","blank",9.2425,0.123,0.047
"38","A1",1,"A",1,"succ",2,"blank","blank","blank",9.4925,0.127,0.051
"39","A1",1,"A",1,"succ",2,"blank","blank","blank",9.7425,0.131,0.055
"40","A1",1,"A",1,"succ",2,"blank","blank","blank",9.9925,0.135,0.059
"41","A1",1,"A",1,"succ",2,"blank","blank","blank",10.2425,0.14,0.064
"42","A1",1,"A",1,"succ",2,"blank","blank","blank",10.4925,0.145,0.069
"43","A1",1,"A",1,"succ",2,"blank","blank","blank",10.7425,0.15,0.074
"44","A1",1,"A",1,"succ",2,"blank","blank","blank",10.9925,0.155,0.079
"45","A1",1,"A",1,"succ",2,"blank","blank","blank",11.2425,0.161,0.085
"46","A1",1,"A",1,"succ",2,"blank","blank","blank",11.4925,0.168,0.092
"47","A1",1,"A",1,"succ",2,"blank","blank","blank",11.7425,0.175,0.099
"48","A1",1,"A",1,"succ",2,"blank","blank","blank",11.9925,0.182,0.106
"49","A1",1,"A",1,"succ",2,"blank","blank","blank",12.2425,0.189,0.113
"50","A1",1,"A",1,"succ",2,"blank","blank","blank",12.4925,0.198,0.122
"51","A1",1,"A",1,"succ",2,"blank","blank","blank",12.7425,0.209,0.133
"52","A1",1,"A",1,"succ",2,"blank","blank","blank",12.9925,0.215,0.139
"53","A1",1,"A",1,"succ",2,"blank","blank","blank",13.2425,0.226,0.15
"54","A1",1,"A",1,"succ",2,"blank","blank","blank",13.4925,0.236,0.16
"55","A1",1,"A",1,"succ",2,"blank","blank","blank",13.7425,0.249,0.173
"56","A1",1,"A",1,"succ",2,"blank","blank","blank",13.9925,0.26,0.184
"57","A1",1,"A",1,"succ",2,"blank","blank","blank",14.2425,0.276,0.2
"58","A1",1,"A",1,"succ",2,"blank","blank","blank",14.4925,0.291,0.215
"59","A1",1,"A",1,"succ",2,"blank","blank","blank",14.7425,0.303,0.227
"60","A1",1,"A",1,"succ",2,"blank","blank","blank",14.9925,0.319,0.243
"61","A1",1,"A",1,"succ",2,"blank","blank","blank",15.2425,0.335,0.259
"62","A1",1,"A",1,"succ",2,"blank","blank","blank",15.4925,0.358,0.282
"63","A1",1,"A",1,"succ",2,"blank","blank","blank",15.7425,0.386,0.31
"64","A1",1,"A",1,"succ",2,"blank","blank","blank",15.9925,0.412,0.336
"65","A1",1,"A",1,"succ",2,"blank","blank","blank",16.2425,0.431,0.355
"66","A1",1,"A",1,"succ",2,"blank","blank","blank",16.4925,0.45,0.374
"67","A1",1,"A",1,"succ",2,"blank","blank","blank",16.7425,0.478,0.402
"68","A1",1,"A",1,"succ",2,"blank","blank","blank",16.9925,0.477,0.401
"69","A1",1,"A",1,"succ",2,"blank","blank","blank",17.2425,0.47,0.394
"70","A1",1,"A",1,"succ",2,"blank","blank","blank",17.4925,0.464,0.388
"71","A1",1,"A",1,"succ",2,"blank","blank","blank",17.7425,0.459,0.383
"72","A1",1,"A",1,"succ",2,"blank","blank","blank",17.9925,0.454,0.378
"73","A1",1,"A",1,"succ",2,"blank","blank","blank",18.2425,0.451,0.375
"74","A1",1,"A",1,"succ",2,"blank","blank","blank",18.4925,0.447,0.371
"75","A1",1,"A",1,"succ",2,"blank","blank","blank",18.7425,0.445,0.369
"76","A1",1,"A",1,"succ",2,"blank","blank","blank",18.9925,0.443,0.367
"77","A1",1,"A",1,"succ",2,"blank","blank","blank",19.2425,0.441,0.365
"78","A1",1,"A",1,"succ",2,"blank","blank","blank",19.4925,0.438,0.362
"79","A1",1,"A",1,"succ",2,"blank","blank","blank",19.7425,0.436,0.36
"80","A1",1,"A",1,"succ",2,"blank","blank","blank",19.9925,0.434,0.358
"81","A1",1,"A",1,"succ",2,"blank","blank","blank",20.2425,0.433,0.357
"82","A1",1,"A",1,"succ",2,"blank","blank","blank",20.4925,0.431,0.355
"83","A1",1,"A",1,"succ",2,"blank","blank","blank",20.7425,0.429,0.353
"84","A1",1,"A",1,"succ",2,"blank","blank","blank",20.9925,0.428,0.352
"85","A1",1,"A",1,"succ",2,"blank","blank","blank",21.2425,0.427,0.351
"86","A1",1,"A",1,"succ",2,"blank","blank","blank",21.4925,0.425,0.349
"87","A1",1,"A",1,"succ",2,"blank","blank","blank",21.7425,0.424,0.348
"88","A1",1,"A",1,"succ",2,"blank","blank","blank",21.9925,0.423,0.347
"89","A1",1,"A",1,"succ",2,"blank","blank","blank",22.2425,0.422,0.346
"90","A1",1,"A",1,"succ",2,"blank","blank","blank",22.4925,0.42,0.344
"91","A1",1,"A",1,"succ",2,"blank","blank","blank",22.7425,0.419,0.343
"92","A1",1,"A",1,"succ",2,"blank","blank","blank",22.9925,0.418,0.342
"93","A1",1,"A",1,"succ",2,"blank","blank","blank",23.2425,0.417,0.341
"94","A1",1,"A",1,"succ",2,"blank","blank","blank",23.4925,0.416,0.34
"95","A1",1,"A",1,"succ",2,"blank","blank","blank",23.7425,0.415,0.339
"96","A1",1,"A",1,"succ",2,"blank","blank","blank",23.9925,0.414,0.338
