"","strain","cond","time","mean_mumax","sd_mumax","rsq_mean","mean_lag","sd_lag","well","rsq_x","row","column","media","edge","rep","y0","y0_lm","mumax","lag"
"1","kb","H",0,0.252932448987744,0.0120151504993205,0.98989136770765,5.0507227794536,1.09880846025282,"A4",0.988868901917683,"A",4,"succ",1,"a",0.013,0.00505091383696885,0.255580633983986,3.69895073031543
"2","kb","H",0,0.252932448987744,0.0120151504993205,0.98989136770765,5.0507227794536,1.09880846025282,"A7",0.996587778424842,"A",7,"succ",1,"a",0.014,0.00532304524807268,0.244183282101863,3.96018829239118
"3","kb","H",0,0.252932448987744,0.0120151504993205,0.98989136770765,5.0507227794536,1.09880846025282,"B4",0.981707823365071,"B",4,"succ",0,"b",0.02,0.00672842674883987,0.233722618508355,4.66104192682031
"4","kb","H",0,0.252932448987744,0.0120151504993205,0.98989136770765,5.0507227794536,1.09880846025282,"B7",0.992457264203631,"B",7,"succ",0,"b",0.021,0.00408118896778994,0.262222096308215,6.24712448397409
"5","kb","H",0,0.252932448987744,0.0120151504993205,0.98989136770765,5.0507227794536,1.09880846025282,"C4",0.988783899083285,"C",4,"succ",0,"c",0.02,0.00472136964612056,0.255717880629359,5.64541413073878
"6","kb","H",0,0.252932448987744,0.0120151504993205,0.98989136770765,5.0507227794536,1.09880846025282,"C7",0.990942539251388,"C",7,"succ",0,"c",0.019,0.00375483493111236,0.266168182394684,6.09161711248178
"7","kb","H",5,0.241633910691942,0.0104744551016327,0.992981001841376,14.6933834797121,1.35491813953067,"A4",0.989586808761295,"A",4,"succ",1,"a",0.025,0.000445299914649209,0.245937953541064,16.3776392590031
"8","kb","H",5,0.241633910691942,0.0104744551016327,0.992981001841376,14.6933834797121,1.35491813953067,"A7",0.996027241468411,"A",7,"succ",1,"a",0.018,0.000489573924506684,0.237476359023619,15.1787385518615
"9","kb","H",5,0.241633910691942,0.0104744551016327,0.992981001841376,14.6933834797121,1.35491813953067,"B4",0.994750163613561,"B",4,"succ",0,"b",0.018,0.00084791284527937,0.227456673375078,13.432664506278
"10","kb","H",5,0.241633910691942,0.0104744551016327,0.992981001841376,14.6933834797121,1.35491813953067,"B7",0.992953175853755,"B",7,"succ",0,"b",0.013,0.00039592848889019,0.255031031112085,13.6903772450048
"11","kb","H",5,0.241633910691942,0.0104744551016327,0.992981001841376,14.6933834797121,1.35491813953067,"C4",0.989129564850286,"C",4,"succ",0,"c",0.021,0.000377995450809041,0.250077327803658,16.0646132591806
"12","kb","H",5,0.241633910691942,0.0104744551016327,0.992981001841376,14.6933834797121,1.35491813953067,"C7",0.995439056500947,"C",7,"succ",0,"c",0.013,0.00056434037643929,0.233824119296147,13.4162680569447
"13","kb","H",10,0.243244885149189,0.00495187733200431,0.993224725203322,25.0834414879805,0.952144459002526,"A4",0.987881677917977,"A",4,"succ",1,"a",0.021,5.62212674879586e-05,0.240405450023046,24.6374722610081
"14","kb","H",10,0.243244885149189,0.00495187733200431,0.993224725203322,25.0834414879805,0.952144459002526,"A7",0.991421821242668,"A",7,"succ",1,"a",0.021,3.72855849088845e-05,0.251570150182216,25.1765597934941
"15","kb","H",10,0.243244885149189,0.00495187733200431,0.993224725203322,25.0834414879805,0.952144459002526,"B4",0.992827047312367,"B",4,"succ",0,"b",0.017,5.65074266732244e-05,0.239838058590366,23.7935404477528
